---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
0,6.752481,-16.716116,2.6371,-1.44,A0m...,0.009,-0.494323,2.476731,-0.758485,22.824432,Sirius,32349,9Alp CMa,Gl 244A
1,6.399195,-52.69566,94.786697,-0.62,F0Ib,0.164,-5.992679,57.132034,-75.396103,13854.79199,Canopus,30438,Alp Car,
5,5.27815,45.99799,13.1234,0.08,M1: comp,0.795,1.712633,8.954439,9.440007,139.315674,Capella,24608,13Alp Aur,Gl 194A
6,5.242298,-8.20164,264.550293,0.18,B8Ia,-0.03,51.601105,256.7099,-37.740051,51665.42578,Rigel,24436,19Bet Ori,
7,7.655033,5.224993,3.5142,0.4,F5IV-V,0.432,-1.469312,3.17617,0.320024,7.440464,Procyon,37279,10Alp CMi,Gl 280A
8,1.628556,-57.236755,42.7533,0.45,B3Vp,-0.158,21.065573,9.568417,-35.951965,1051.961914,Achernar,7588,Alp Eri,
9,5.919529,7.407063,152.671799,0.45,M2Ib,1.5,3.189296,151.36438,19.682142,90000,Betelgeuse,27989,58Alp Ori,
13,4.598677,16.5093,20.433201,0.87,K5III,1.538,7.02722,18.287603,5.806661,163.230011,Aldebaran,21421,87Alp Tau,Gl 171.1A
14,5.277926,46.000843,12.9383,0.96,G0 III,0,1.689045,8.828648,9.308413,60.200485,Gliese 194B,0,,Gl 194B
17,7.755277,28.026199,10.3584,1.16,K0IIIvar,0.991,-4.055465,8.19518,4.867171,32.092239,Pollux,37826,78Bet Gem,Gl 286
22,10.139532,11.967207,24.3132,1.36,B7V,-0.087,-21.018856,11.132218,5.041397,147.095703,Regulus,49669,32Alp Leo,
23,6.977097,-28.972084,124.223602,1.5,B2II,-0.211,-27.497988,105.141609,-60.17197,3375.980957,Adhara,33579,21Eps CMa,
24,7.576634,31.888275,15.5958,1.58,A2Vm,0.034,-5.311938,12.130011,8.238737,49.431068,Castor,36850,66Alp Gem,Gl 278A
27,5.418851,6.349702,77.399399,1.64,B2III,-0.224,11.658576,76.036133,8.56012,1152.391357,Bellatrix,25336,24Gam Ori,
28,5.438198,28.60745,41.0509,1.65,B7III,-0.13,5.281578,35.650398,19.655457,321.218079,Alnath,25428,112Bet Tau,
29,9.220041,-69.717209,34.698101,1.67,A2IV,0.07,-8.980712,8.001552,-32.546535,225.320129,Miaplacidus,45238,Bet Car,
30,5.603559,-1.20192,606.060608,1.69,B0Ia,-0.184,62.775124,602.666931,-12.712683,67483.875,Alnilam,26311,46Eps Ori,
32,5.679313,-1.942572,225.733597,1.74,O9.5Ib SB,-0.199,18.918488,224.809402,-7.651875,8937.169922,Alnitak,26727,50Zet Ori,
33,8.158876,-47.33659,342.46579,1.75,O9I + WC8,-0.145,-124.300148,195.993256,-251.831604,20379.80469,Gamma Velorum,39953,Gam2Vel,
35,3.405378,49.861179,155.279495,1.79,F5Ib,0.481,62.885098,77.880692,118.708801,4040.17334,Mirphak,15863,33Alp Per,
37,11.062155,61.751034,37.679001,1.81,F7V comp,1.061,-17.298704,4.33488,33.191334,233.34581,Dubhe,54061,50Alp UMa,
38,7.139857,-26.3932,492.610809,1.83,F8Ia,0.671,-129.733459,421.761475,-218.979858,39192.23047,Wezen,34444,25Del CMa,
40,8.375236,-59.509483,185.528793,1.86,K3III+B2V,1.196,-54.837078,76.515236,-159.87262,5405.053711,Avior,41037,Eps Car,
42,5.992149,44.947433,24.8694,1.9,A2V,0.077,0.036195,17.601288,17.569057,93.583656,Menkalinan,28360,34Bet Aur,NN 3375
44,6.628528,16.399252,33.5121,1.93,A0IV,0.001,-5.266162,31.71439,9.461403,165.348404,Alhena,31681,24Gam Gem,
45,8.745059,-54.70882,24.6975,1.93,A1V,0.043,-9.394033,10.739813,-20.158772,89.784218,Delta Velorum,42913,Del Vel,Gl 321.3A
47,2.52975,89.264107,132.626007,1.97,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614914,2495.743896,Polaris,11767,1Alp UMi,
48,6.378329,-17.955917,151.057404,1.98,B1II/III,-0.24,-14.209731,142.996002,-46.568851,3209.223877,Mirzam,30324,2Bet CMa,
49,9.45979,-8.658603,55.279202,1.99,K3III,1.44,-43.003468,33.722847,-8.322089,425.794464,Alphard,46390,30Alp Hya,
50,2.119555,23.462423,20.177601,2.01,K2III,1.151,15.731986,9.751722,8.03361,55.667278,Hamal,9884,13Alp Ari,Gl 84.3
51,10.332873,19.84149,39.888302,2.01,K0III,1.128,-34.002796,15.860719,13.53874,217.570496,Algieba,50583,41Gam1Leo,
52,0.72649,-17.986605,29.5334,2.04,K0III,1.019,27.583637,5.310463,-9.119792,116.091385,Diphda,3419,16Bet Cet,Gl 31
55,0.139791,29.090431,29.7442,2.07,B9p,-0.038,25.974571,0.951042,14.461264,114.49855,Alpheratz,677,21Alp And,
56,1.162194,35.62056,60.5327,2.07,M0IIIvar,1.576,46.946369,14.741814,35.255131,474.241974,Mirach,5447,43Bet And,Gl 53.3
57,5.795941,-9.669605,198.412704,2.07,B0.5Iavar,-0.168,10.444137,195.314941,-33.326706,5095.654785,Saiph,27366,53Kap Ori,
61,3.136148,40.955647,27.570999,2.09,B8V,-0.003,14.189428,15.238793,18.072115,96.560608,Algol,14576,26Bet Per,
62,2.064984,42.329723,120.481903,2.1,B8V,1.37,76.368057,45.840862,81.131973,1828.10022,Almaak,9640,57Gam1And,
63,11.817663,14.57206,10.9999,2.14,A3Vvar,0.09,-10.633926,0.508011,2.767546,14.6825,Denebola,57632,94Bet Leo,Gl 448
64,0.945143,60.71674,168.350204,2.15,B0IV:evar,-0.046,79.836716,20.168018,146.837051,3407.218506,Cih,4427,27Gam Cas,
66,8.059737,-40.003147,332.225891,2.21,O5IAf,-0.269,-130.674896,218.376205,-213.564529,12554.5166,Naos,39429,Zet Pup,
67,9.284838,-59.27523,234.741806,2.21,A8Ib,0.189,-90.887871,78.251755,-201.791534,6269.024902,Tureis,45556,Iot Car,
69,9.133268,-43.43259,166.944901,2.23,K4Ib-II,1.665,-88.662598,82.682121,-114.774841,3113.149658,Suhail,44816,Lam Vel,
72,0.675116,56.537331,69.978996,2.24,K0II-IIIvar,1.17,37.984818,6.784483,58.37962,542.000916,Shedir,3179,18Alp Cas,
74,5.533445,-0.299092,212.314194,2.25,O9.5II,-0.175,25.868116,210.72966,-1.108306,4943.106934,Mintaka,25930,34Del Ori,
75,0.152887,59.14978,16.784201,2.28,F2III-IV,0.38,8.600014,0.344589,14.409503,30.060762,Caph,746,11Bet Cas,Gl 8
81,11.030677,56.382427,24.4499,2.34,A1V,0.033,-13.103033,3.398358,20.360601,60.311481,Merak,53910,48Bet UMa,Wo 9343
85,0.438056,-42.305981,25.974001,2.4,K0III...,1.083,19.083654,2.198282,-17.483284,64.446602,Ankaa,2081,Alp Phe,
86,11.897168,53.694759,25.5037,2.41,A0V SB,0.044,-15.094867,0.406425,20.552677,61.546024,Phad,58001,64Gam UMa,
89,7.401584,-29.303104,609.756104,2.45,B5Ia,-0.083,-190.762161,496.337128,-298.432922,33915.64063,Aludra,35904,31Eta CMa,
91,9.368562,-55.01067,175.438599,2.47,B2IV,-0.141,-77.657768,63.951481,-143.729782,2756.766602,Kappa Velorum,45941,Kap Vel,
94,3.037992,4.089734,76.394203,2.54,M2III,1.63,53.34256,54.414383,5.448321,489.778809,Menkar,14135,92Alp Cet,
97,11.235138,20.523718,17.9147,2.56,A4V,0.128,-16.442202,3.337108,6.280742,26.448437,Zosma,54872,68Del Leo,Gl 419
99,5.545504,-17.822289,680.272095,2.58,F0Ib,0.211,76.877197,643.047241,-208.207993,37428.29297,Arneb,25985,11Alp Lep,
105,1.910668,20.808035,17.9856,2.64,A5V...,0.165,14.752622,8.063457,6.389157,24.774221,Sheratan,8903,6Bet Ari,Gl 80
106,5.660817,-34.074108,80.128197,2.65,B7IV,-0.12,5.885917,66.110039,-44.893181,487.079681,Phakt,26634,Alp Col,
107,5.995351,37.212585,50.761398,2.65,A0p Si,-0.083,0.049188,40.426414,30.699341,195.523972,Theta Aurigae,28380,37The Aur,
109,1.430216,60.235283,30.4785,2.66,A5Vv SB,0.16,14.082378,5.53413,26.457567,69.823242,Ruchbah,6686,37Del Cas,
112,4.949894,33.166088,151.285904,2.69,K3IIvar,1.49,34.37854,121.884171,82.763748,1673.400879,Hassaleh,23015,3Iot Aur,
113,10.779488,-49.420254,35.919498,2.69,G5III SB,0.901,-22.183186,7.339648,-27.280949,94.362625,Mu Velorum,52727,Mu  Vel,
116,7.285711,-37.097469,247.524796,2.71,K3Ib,1.616,-65.206299,186.349548,-149.300308,4397.440918,Ahadi,35264,Pi  Pup,
121,10.715949,-64.394447,139.664795,2.74,B0Vp,-0.22,-56.980946,19.910719,-125.948608,1361.444702,Theta Carinae,52419,The Car,
123,5.590551,-5.909901,714.285706,2.75,O9III,-0.21,76.014145,706.411499,-73.546043,35285.80078,Hatsya,26241,44Iot Ori,
127,5.130829,-5.086446,27.397301,2.78,A3IIIvar,0.161,6.156194,26.585876,-2.429001,50.5359,Cursa,23875,67Bet Eri,Wo 9175
133,5.470756,-20.759441,49.1642,2.81,G5II,0.807,6.349344,45.531612,-17.425966,158.197647,Nihal,25606,9Bet Lep,
135,0.427916,-77.25425,7.4588,2.82,G2IV,0.618,1.635267,0.184517,-7.275205,3.607447,Beta Hydri,2021,Bet Hyi,Gl 19
138,0.220598,15.183596,120.047997,2.83,B2IV,-0.19,115.664185,6.687324,31.442127,926.403076,Algenib,1067,88Gam Peg,
139,8.125737,-24.304323,19.4818,2.83,F2mF5IIp,0.458,-9.379037,15.076242,-8.018549,24.389338,Rho Puppis,39757,15Rho Pup,
141,3.9022,31.883635,230.414703,2.84,B1Ib,0.271,102.130981,166.878311,121.704178,3382.205566,Zeta Persei,18246,44Zet Per,
144,3.79141,24.105137,123.609398,2.85,B7III,-0.086,61.664509,94.489136,50.483635,963.829041,Alcyone,17702,25Eta Tau,
147,7.576827,31.89052,15.8053,2.85,A m,0,-5.383676,12.292323,8.349873,15.761589,Castor B,0,66Alp Gem,Gl 278B
148,1.979451,-61.569859,22.0119,2.86,F0V,0.29,9.103629,5.191033,-19.357346,30.283077,Alpha Hydri,9236,Alp Hyi,Gl 83
150,6.382673,22.513586,71.022697,2.87,M3IIIvar,1.621,-6.562116,65.281441,27.194958,312.46402,Mu Geminorum,30343,13Mu  Gem,
153,2.971023,-40.304672,49.431499,2.88,A4III+...,0.128,26.857491,26.45303,-31.974932,149.968491,Acamar,13847,The1Eri,
155,7.452512,8.289315,49.578602,2.89,B8Vvar,-0.097,-18.209818,45.556206,7.147858,149.416992,Gomeisa,36188,3Bet CMi,
158,3.96423,40.010216,195.694702,2.9,B0.5V,-0.199,76.156464,129.099686,125.816856,2307.809814,Epsilon Persei,18532,45Eps Per,
161,3.079942,53.506439,74.571198,2.91,G8III+A2V,0.716,30.696985,32.009544,59.949577,332.047333,Gamma Persei,14328,23Gam Per,
162,9.785036,-65.072006,440.528595,2.92,A9,0.273,-155.321548,101.734428,-399.488281,11481.53613,Upsilon Carinae,48002,Ups Car,
164,6.832266,-50.614559,55.8036,2.94,K0III...,1.207,-7.654383,34.572281,-43.130566,180.800659,Tau Puppis,32768,Tau Pup,
167,3.967157,-13.508515,62.344101,2.97,M1IIIb Ca-1,1.588,30.760218,52.235828,-14.56308,219.583649,Zaurak,18543,34Gam Eri,
168,5.627413,21.14255,136.425598,2.97,B4IIIp,-0.148,12.391949,126.63755,49.207352,1050.993408,Zeta Tauri,26451,123Zet Tau,
169,9.764188,23.774256,75.642998,2.97,G0II,0.808,-57.700127,38.244774,30.494289,323.295746,Ras Elased Australis,47908,17Eps Leo,
174,2.159058,34.987297,38.895401,3,A5III,0.14,26.909765,17.068197,22.302471,83.099808,Beta Trianguli,10064,4Bet Tri,
175,11.161062,44.498486,44.306599,3,K1III,1.144,-30.843315,6.88533,31.054047,107.844994,Psi Ursa Majoris,54539,52Psi UMa,
179,3.715416,47.787552,158.227798,3.01,B5III SB,-0.125,59.860729,87.855484,117.19281,1362.699219,Delta Persei,17358,39Del Per,
180,6.338553,-30.063368,111.111099,3.02,B2.5V,-0.16,-8.512138,95.786308,-55.662083,666.192871,Zeta Canis Majoris,30122,1Zet CMa,
181,7.050409,-23.83329,847.457581,3.02,B3Ia,-0.077,-210.498108,746.064148,-342.438171,38761.44922,Omicron 2 Canis Majoris,33977,24Omi2CMa,
183,5.032815,43.823307,653.594788,3.03,F0Ia,0.537,118.129799,456.518494,452.573029,22845.46484,Epsilon Aurigae,23416,7Eps Aur,
188,6.732202,25.131124,259.067413,3.06,A3mA6-A9,1.377,-44.684834,230.247726,110.023705,3489.795654,Epsilon Geminorum,32246,27Eps Gem,
189,10.372155,41.499516,70.621498,3.06,M0III SB,1.603,-48.161682,21.865099,46.794651,259.417938,Mu Ursa Majoris,50801,34Mu  UMa,
192,8.92323,5.945563,51.255798,3.11,G8III-IV,0.978,-35.316753,36.765697,5.309278,130.496841,Zeta Hydrae,43813,16Zet Hya,
193,10.827079,-16.193647,44.0723,3.11,K0/K1III,1.232,-40.343945,12.793047,-12.291085,96.471718,Nu Hydrae,52943,Nu  Hya,
194,11.596363,-63.01984,128.700104,3.11,B9II:,-0.044,-58.063194,6.158685,-114.692848,822.621399,Lambda Centauri,56561,Lam Cen,
196,5.849329,-35.768311,26.730801,3.12,K1.5III,1.146,0.855327,21.672806,-15.624858,35.156044,Beta Columbae,27628,Bet Col,
197,8.986828,48.041824,14.5096,3.12,A7IV,0.223,-6.835882,6.883318,10.789878,10.35619,Iota Ursa Majoris,44127,9Iot UMa,Gl 331A
201,9.350925,34.392563,62.266499,3.14,M0IIIvar,1.55,-39.512344,32.846027,35.172039,187.240585,,45860,40Alp Lyn,
202,9.520371,-57.034378,73.260101,3.16,K5III,1.538,-31.754679,24.098312,-61.464912,254.448563,,46701,,
204,6.629353,-43.195934,113.895203,3.17,B8III SB,-0.103,-13.61885,81.907249,-77.960907,609.817688,,31685,Nu  Pup,
205,9.547715,51.677299,13.4789,3.17,F6IV,0.475,-6.693935,5.005096,10.57472,8.534931,,46853,25The UMa,Gl 354A
208,5.10858,41.234474,74.6269,3.18,B3V,-0.148,12.978524,54.599525,49.18977,259.179108,,23767,10Eta Aur,
210,4.830669,6.961276,8.0684,3.19,F6V,0.484,2.413721,7.63677,0.977904,3.003309,,22449,1Pi 3Ori,Gl 178
211,5.091018,-22.371033,65.402199,3.19,K4III,1.46,14.257014,58.775517,-24.892269,197.33313,,23685,2Eps Lep,
220,6.803194,-61.941391,29.6033,3.24,A7IV,0.225,-2.906455,13.618019,-26.124096,38.618908,,32607,Alp Pic,Gl 248
222,7.487179,-43.301434,59.382401,3.25,K5III SB,1.509,-16.40407,39.982094,-40.727161,153.886322,,36377,Sig Pup,
226,3.787295,-74.23896,65.616798,3.26,M2III,1.59,9.756821,14.915528,-63.14994,186.20871,,17678,Gam Hyi,
227,0.655462,30.861025,32.352001,3.27,K3III...,1.268,27.363474,4.742224,16.595165,44.874538,,3092,31Del And,
230,5.215528,-16.205467,57.012501,3.29,B9IV: HgMn,-0.11,11.164848,53.596931,-15.911275,136.772888,,24305,5Mu  Lep,
231,10.228961,-70.037903,104.8218,3.29,B8III,-0.074,-32.00779,16.004391,-98.524025,462.168121,,50099,Ome Car,
233,4.566598,-55.044975,51.706299,3.3,A0V:,-0.079,10.857822,27.56288,-42.37878,111.480782,,21281,Alp Dor,
234,10.533743,-61.685333,148.148102,3.3,B4Vne,-0.089,-65.154869,26.316212,-130.423264,914.534302,,51576,,
235,6.247961,22.5068,117.9245,3.31,M3III,1.6,-7.067151,108.713371,45.140743,574.38092,,29655,7Eta Gem,
237,1.101407,-46.718414,100000,3.32,G8IIIvar,0.885,65728.03906,19495.77344,-72799.3125,409260672,,5165,Bet Phe,
238,3.08627,38.840275,94.3396,3.32,M3IIIvar,1.528,50.772205,53.119198,59.165375,364.082672,,14354,25Rho Per,
243,4.240404,-62.473858,49.554001,3.33,G7III,0.915,10.180685,20.514414,-43.944775,99.540543,,19780,Alp Ret,
244,11.237335,15.42957,50.6073,3.33,A2V,-0.003,-47.814213,9.675761,13.464276,103.848442,,54879,70The Leo,
245,7.821571,-24.859785,367.647095,3.34,G6Ia,1.218,-153.11853,296.36261,-154.558517,5430.001953,,38170,7Xi  Pup,
246,1.906584,63.670101,126.262604,3.35,B2pvar,-0.15,49.169643,26.806887,113.163437,634.453796,,8886,45Eps Cas,
247,5.407949,-2.397146,299.401215,3.35,B1V + B2,-0.24,46.180744,295.553223,-12.522729,3567.795898,,25281,28Eta Ori,
248,6.754824,12.895591,17.9986,3.35,F5IV,0.443,-3.444569,17.203451,4.0169,12.894366,,32362,31Xi  Gem,Gl 242
249,8.504431,60.71817,54.914902,3.35,G4II-III,0.856,-16.375481,21.290022,47.898273,120.00518,,41704,1Omi UMa,
252,8.779587,6.418809,39.635399,3.38,G0III-IV,0.685,-26.198414,29.410868,4.431082,60.813499,,43109,11Eps Hya,
254,5.585633,9.934158,336.700287,3.39,O...,-0.16,35.907505,329.702789,58.086365,4349.105957,,26207,39Lam Ori,
255,10.28472,-61.332302,201.6129,3.39,K3II,1.541,-87.130341,41.987831,-176.898605,1560.270874,,50371,,
258,4.477705,15.870883,46.104198,3.4,A7III,0.179,17.209732,40.871601,12.608233,80.835106,,20894,78The2Tau,
260,1.472759,-43.318233,71.633202,3.41,K5II-III,1.542,48.291054,19.600485,-49.144112,193.374847,,6867,Gam Phe,
261,4.011338,12.490347,148.367996,3.41,B3V + A,-0.099,72.055649,125.663971,32.088341,829.468689,,18724,35Lam Tau,
266,1.884696,29.578829,19.4175,3.42,F6IV,0.488,14.872602,7.99818,9.584806,14.073431,,8796,2Alp Tri,Gl 78.1
270,9.182804,-58.966896,136.986298,3.43,B2IV,-0.19,-52.268406,47.490562,-117.37957,693.745239,,45080,,
271,10.278171,23.417311,84.0336,3.43,F0III,0.307,-69.409309,33.594776,33.397011,261.095856,,50335,36Zet Leo,
273,10.284952,42.914364,42.158501,3.45,A2IV,0.029,-27.815454,13.402145,28.706022,64.505981,,50372,33Lam UMa,
274,0.81826,57.815186,5.9531,3.46,G0V SB,0.587,3.098462,0.674227,5.038376,1.275264,,3821,24Eta Cas,Gl 34A
275,1.143164,-10.182264,37.9939,3.46,K2III,1.161,35.733353,11.025427,-6.716585,51.951729,,5364,31Eta Cet,NN 3075
276,7.946313,-52.982361,139.470001,3.46,B3IVp,-0.177,-40.958492,73.302689,-111.359985,699.519775,,38827,Chi Car,
278,2.721678,3.235818,24.4081,3.47,A3V,0.093,18.440325,15.931398,1.377729,21.242226,,12706,86Gam Cet,Gl 106.1A
280,10.122209,16.762665,389.105103,3.48,A0Ib,-0.031,-328.449982,175.868866,112.221001,5345.643555,,49583,30Eta Leo,
282,1.734479,-15.93748,3.6502,3.49,G8V,0.727,3.154083,1.539508,-1.00226,0.466445,,8102,52Tau Cet,Gl 71
283,7.028652,-27.93483,343.642609,3.49,K4III,1.729,-80.775475,292.659241,-160.985306,4134.28125,,33856,22Sig CMa,
284,11.307983,33.094307,122.399002,3.49,K3III SB,1.4,-100.864258,18.476143,66.8321,524.324341,,55219,54Nu  UMa,
288,6.830683,-32.508476,202.020203,3.5,B1.5IVne,-0.116,-36.758572,166.353333,-108.570648,1415.141968,,32759,13Kap CMa,
289,7.335383,21.982321,18.539101,3.5,F0IV...,0.374,-5.888392,16.151258,6.939513,11.91242,,35550,55Del Gem,Gl 271A
293,3.720806,-9.763395,9.0408,3.52,K0IV,0.915,5.006502,7.370189,-1.533131,2.782275,,17378,23Del Eri,Gl 150
294,9.685843,9.892308,39.952099,3.52,A5V+...,0.516,-32.353394,22.412884,6.863686,54.350056,,47508,14Omi Leo,
295,9.947708,-54.567791,487.804901,3.52,B5Ib,-0.067,-242.953033,144.739487,-397.464508,8098.414551,,48774,Phi Vel,
300,4.476943,19.180431,44.964001,3.53,K0III,1.014,16.488447,39.136799,14.772771,68.171051,,20889,74Eps Tau,
301,8.275256,9.185545,93.0233,3.53,K4III,1.481,-51.522087,76.015373,14.84954,291.877075,,40526,17Bet Cnc,
302,11.550038,-31.857624,39.745602,3.54,G8III,0.947,-33.52441,3.96759,-20.978113,52.771568,,56343,Xi  Hya,
305,4.298237,-33.798347,54.555401,3.55,B9V,-0.108,19.536379,40.910336,-30.347713,98.537148,,20042,41Ups4Eri,
306,5.782595,-14.82195,21.607599,3.55,A2Vann,0.104,1.188275,20.854933,-5.52761,15.459662,,27288,14Zet Lep,Gl 217.1
310,0.323799,-8.823921,84.175102,3.56,K2III,1.214,82.880325,7.042663,-12.912353,232.487717,,1562,8Iot Cet,
311,2.275154,-51.512165,47.125401,3.56,B8IV-V,-0.12,24.27787,16.454315,-36.88702,72.845039,,10602,Phi Eri,
312,11.322347,-14.778541,56.947601,3.56,K0III,1.112,-54.199406,9.717642,-14.52639,106.365311,,55282,12Del Crt,
314,7.740793,24.397993,43.346298,3.57,G8III,0.932,-17.374205,35.446541,17.905243,61.094204,,37740,77Kap Gem,
315,9.060427,47.156525,109.890099,3.57,A1Vn,0.007,-53.667801,51.996166,80.572998,392.644928,,44471,12Kap UMa,
318,7.30155,16.540382,30.931,3.58,A3V...,0.106,-9.909037,27.946222,8.805756,30.817684,,35350,54Lam Gem,Wo 9231A
320,1.633205,48.628212,54.318298,3.59,K3III,1.275,32.669331,14.886999,40.762547,94.188957,,7607,51    And,
321,5.293442,-6.844409,151.515198,3.59,B5III,-0.115,27.668638,147.869247,-18.056627,732.487122,,24674,20Tau Ori,
322,5.741057,-22.448381,8.927,3.59,F7V,0.481,0.558889,8.231515,-3.40875,2.544486,,27072,13Gam Lep,Gl 216A
323,11.844922,1.764718,10.929,3.59,F8V,0.518,-10.914853,0.443379,0.336562,3.812413,,57757,5Bet Vir,Gl 449
325,1.40039,-8.183257,34.8918,3.6,K0III,1.065,32.241501,12.380133,-4.96651,38.512348,,6537,45The Cet,
326,6.879816,33.961254,57.971001,3.6,A3III,0.102,-10.97736,46.812347,32.384567,106.267387,,33018,34The Gem,
327,8.671554,-52.921886,151.285904,3.6,B3IV,-0.168,-58.71851,69.796532,-120.698166,723.769043,,42536,,
328,9.511674,-40.46677,18.814699,3.6,F2IV,0.371,-11.382585,8.679058,-12.210922,11.189225,,46651,Psi Vel,Gl 351A
331,2.833063,27.260508,50.787201,3.61,B8Vn,-0.1,33.287605,30.498161,23.26243,80.835106,,13209,41    Ari,
332,3.413554,9.02887,89.2061,3.61,G8III,0.887,55.200207,68.663322,13.999272,249.34462,,15900,1Omi Tau,
333,10.176467,-12.354083,34.506599,3.61,K0III,1.007,-29.938955,15.487743,-7.382812,37.325016,,49841,41Lam Hya,
336,1.524725,15.345823,107.181099,3.62,G8III,0.974,95.233978,40.171368,28.36491,356.779602,,7097,99Eta Psc,
337,3.819373,24.053415,117.233299,3.62,B8III,-0.07,57.849419,90.077194,47.782936,426.579529,,17847,27    Tau,
338,7.754249,-37.968582,347.222198,3.62,K4III,1.706,-121.341629,245.368057,-213.621368,3742.829102,,37819,,
341,11.760141,-66.72876,38.986401,3.63,A7III,0.16,-15.372609,0.966692,-35.814789,46.773514,,57363,Lam Mus,
343,4.329889,15.627642,49.529499,3.65,G8III,0.981,20.197374,43.211662,13.342572,74.062775,,20205,54Gam Tau,
344,9.525453,63.061859,23.815201,3.65,F0IV,0.36,-8.603035,6.510645,21.231075,17.123795,,46733,23    UMa,NN 3559
352,4.853434,5.605104,322.580597,3.68,B2III SB,-0.157,94.925537,306.683594,31.506969,3056.328369,,22549,3Pi 4Ori,
353,8.726539,-33.186386,269.541809,3.68,B1.5III,-0.18,-147.689484,170.508987,-147.537659,2134.027344,,42828,Alp Pyx,
356,0.616188,53.896908,181.818207,3.69,B2IV,-0.196,105.743568,17.207891,146.901505,962.055237,,2920,17Zet Cas,
357,1.932564,-51.608894,17.8508,3.69,G5IV,0.844,9.696827,5.372709,-13.991232,9.272568,,9007,Chi Eri,Gl 81A
358,5.041301,41.075836,240.963898,3.69,K4II comp,1.154,45.114162,175.957016,158.327194,1690.440918,,23453,8Zet Aur,
359,9.754117,-62.507904,478.468903,3.69,G5Iab/Ib,1.01,-183.781937,122.513039,-424.437592,6661.929199,,47854,,
360,11.767515,47.779408,56.306301,3.69,K0III,1.181,-37.766968,2.301619,41.698311,92.299637,,57399,63Chi UMa,
362,3.325278,-21.757864,93.370697,3.7,M3/M4III,1.614,55.881992,66.313065,-34.611248,251.420105,,15474,16Tau4Eri,
365,4.904193,2.440672,411.522614,3.71,B2III SB,-0.179,116.339905,394.346222,17.524651,4839.494629,,22797,8Pi 5Ori,
366,5.940082,-14.1677,14.8787,3.71,F1V,0.337,0.226289,14.424355,-3.64172,6.327032,,28103,16Eta Lep,Gl 225
367,7.870288,-40.575787,108.108101,3.71,G5III...,1.012,-38.618553,72.465134,-70.319405,333.88739,,38414,,
371,3.548848,-9.458262,3.2161,3.72,K2V,0.881,1.89897,2.541426,-0.528523,0.292954,,16537,18Eps Eri,Gl 144
372,3.747927,24.113338,124.069504,3.72,B6III,-0.105,62.96563,94.124107,50.687767,435.712494,,17499,17    Tau,
373,5.992111,54.284657,38.6399,3.72,K0III,1.01,0.046526,22.55637,31.372845,42.266861,,28358,33Del Aur,
375,3.45282,9.73268,64.1026,3.73,B9Vn,-0.082,39.07769,49.645164,10.836642,115.239136,,16083,2Xi  Tau,
380,1.857676,-10.335038,72.046097,3.74,K2III,1.136,62.659061,33.127468,-12.925362,144.277969,,8645,55Zet Cet,
383,9.069248,-47.097736,91.8274,3.75,K2III,1.174,-44.996399,43.393871,-67.265198,232.273682,,44511,,
385,5.560421,-62.489826,308.641998,3.76,F6Ia,0.64,16.370232,141.620667,-273.74353,2598.962402,,26069,Bet Dor,
386,5.855357,-20.879089,34.8675,3.76,G8III/IV,0.984,1.233354,32.555386,-12.426988,33.174164,,27654,15Del Lep,
387,6.480297,-7.033062,207.468903,3.76,B3Ve,-0.113,-25.823011,204.282364,-25.402943,1174.897583,,30867,11Bet Mon,
391,2.844945,55.895496,269.541809,3.77,K3Ib comp SB,1.69,111.116112,102.442421,223.184982,1964.264648,,13268,15Eta Per,
392,3.753232,42.578548,170.648499,3.77,F5IIvar,0.425,69.722893,104.539001,115.460754,787.770996,,17529,41Nu  Per,
393,4.382247,17.542515,47.7099,3.77,G8III,0.983,18.695965,41.472034,14.380508,61.546024,,20455,61Del1Tau,
394,5.645769,-2.600069,328.947388,3.77,O9.5V...,-0.19,30.430714,327.19696,-14.922443,2926.846924,,26549,48Sig Ori,
395,8.428951,-66.136887,32.970699,3.77,K2IIIvar,1.132,-7.921708,10.731349,-30.152411,29.403566,,41312,Bet Vol,NN 3499
396,8.677103,-46.648743,100000,3.77,F3Ia,0.67,-44268.89453,52465.83203,-72715.89844,270395840,,42570,,
401,7.145788,-70.498932,42.8633,3.78,G8IIIvar,1.006,-4.22812,13.669876,-40.404484,49.203953,,34481,Gam2Vol,
402,7.428779,27.79808,36.900398,3.78,G9III+...,1.024,-11.927106,30.38497,17.208794,36.475395,,36046,60Iot Gem,
403,9.849867,59.038734,35.637901,3.78,F0IV,0.291,-15.505407,9.784196,30.560251,34.040817,,48319,29Ups UMa,
404,10.891559,-58.853172,29.129,3.78,K0III-IV...,0.945,-14.436596,4.310989,-24.92996,22.740499,,53253,,Gl 404.1
407,3.158258,44.857544,34.5662,3.79,K0III,0.98,16.593575,18.028978,24.38133,31.710274,,14668,27Kap Per,
408,10.888526,34.21487,29.0867,3.79,K0III-IV,1.04,-23.041794,6.900625,16.355474,22.449156,,53229,46    LMi,
409,3.201249,-28.987617,14.2369,3.8,F8V,0.543,8.329775,9.25728,-6.899408,5.330894,,14879,Alp For,Gl 127A
